Symbol
AAOI
ACIW
ACXM
ADTN
AIRG
ALRM
AMAT
AMBR
AMD
AMKR
AMX
ANGI
ARRS
ASX
ATEN
ATHM
ATVI
AXTI
BBRY
BCE
BCOR
BCOV
BHE
BITA
BKFS
BNFT
BOX
BRCD
BRKS
BSFT
BT
CA
CALD
CAMP
CARB
CBB
CCOI
CDNS
CHT
CHU
CIEN
CLGX
CLS
CMCM
CMTL
CNSL
COMM
COTV
COUP
CRAY
CRCM
CREE
CSCO
CSGS
CSIQ
CSOD
CSRA
CTL
CTRL
CUDA
CVLT
CY
CYBR
DATA
DBD
DCM
DDD
EFII
EGHT
EGOV
EIGI
EMKR
ENTG
EPAY
ERIC
EVH
EVTC
EXAR
EXTR
FEYE
FIT
FIVN
FLEX
FLIR
FNSR
FORM
FRP
FSLR
FTNT
GDDY
GIMO
GLOB
GLW
GOGO
GRUB
HCHC
HDP
HIMX
HLIT
HPE
HPQ
HQY
IDTI
IIVI
IMMR
IMPV
INFN
INFY
INOV
INTC
INVA
INVN
INXN
IPHI
IRDM
IRM
JASO
JBL
JD
JKS
JNPR
KEM
KEYS
KEYW
KLIC
KN
KT
LITE
LMOS
LN
LOGI
LPL
LPSN
LSCC
MANH
MB
MBT
MDRX
MEET
MENT
MIME
MITK
MITL
MOMO
MRCY
MRVL
MTCH
MTSI
MU
MULE
MX
MXIM
MXL
NANO
NATI
NCR
NEWR
NH
NLSN
NMBL
NOK
NPTN
NSIT
NSR
NTAP
NTCT
NTNX
NTT
NUAN
OCLR
OMCL
ON
ORAN
ORBC
ORBK
ORCL
OTEX
PCTY
PEGA
PI
PINC
PLAB
PRGS
PSTG
QLYS
QSII
QTNA
QTWO
RATE
RCI
RDWR
RENN
RMBS
RNG
RP
RTEC
RUBI
S
SABR
SANM
SEDG
SHOR
SIGM
SIMO
SKM
SMCI
SMI
SMTC
SNAP
SNCR
SOHU
SONS
SPWR
SQ
SSNC
SSNI
SSYS
ST
STM
STX
SWIR
SYMC
SYNA
SYNT
T
TDC
TDOC
TDS
TEAM
TEF
TER
TI
TKC
TLK
TNGO
TRIP
TRMB
TRUE
TRVG
TSEM
TSL
TSM
TSU
TTD
TTMI
TU
TWLO
TWOU
TWTR
TYPE
UBNT
UCTT
UIS
UTEK
VCRA
VDSI
VECO
VEEV
VG
VIAV
VIV
VNET
VOD
VRNS
VRNT
VRTU
VSH
WB
WEB
WIN
WIT
WUBA
XCRA
XRX
XTLY
XXIA
YELP
YHOO
YNDX
YY
